source,title,url,published,sentiment,confidence,positive_score,negative_score,neutral_score,chunks_analyzed
Profit Pakistan Today,Cabinet committee approves third quarterly regulatory reform package to modernise Pakistan’s business environment,https://profit.pakistantoday.com.pk/2025/09/27/cabinet-committee-approves-third-quarterly-regulatory-reform-package-to-modernise-pakistans-business-environment,2025-09-27T07:00:50.000Z,positive,0.5944,0.5944,0.0102,0.3953,2
Profit Pakistan Today,"Number of registered businesses surpasses 12.5 million, FBR informs NA",https://profit.pakistantoday.com.pk/2025/04/10/number-of-registered-businesses-surpasses-12-5-million-fbr-informs-na,2025-04-10T08:44:39.000Z,positive,0.8218,0.8218,0.0119,0.1663,1
Profit Pakistan Today,"Pakistan, Azerbaijan bolster trade ties with new joint chamber of commerce",https://profit.pakistantoday.com.pk/2025/02/13/pakistan-azerbaijan-bolster-trade-ties-with-new-joint-chamber-of-commerce,2025-02-13T09:09:36.000Z,neutral,0.5144,0.4757,0.0099,0.5144,2
Profit Pakistan Today,Ad giant Omnicom acquires Interpublic in $13.25 billion all-stock deal,https://profit.pakistantoday.com.pk/2024/12/09/ad-giant-omnicom-acquires-interpublic-in-13-25-billion-all-stock-deal,2024-12-09T13:59:10.000Z,positive,0.5578,0.5578,0.0354,0.4068,3
Profit Pakistan Today,Will fiscal year 2025 be a better year for the private sector?,https://profit.pakistantoday.com.pk/2024/06/24/will-fiscal-year-2025-be-a-better-year-for-the-private-sector,2024-06-24T04:41:32.000Z,negative,0.4381,0.3956,0.4381,0.1663,7
Profit Pakistan Today,New cabinet committee under Aleem Khan to work on ease of doing business. What measures will it take?,https://profit.pakistantoday.com.pk/2024/03/23/new-cabinet-committee-under-aleem-khan-to-work-on-improving-ease-of-doing-business-what-measures-will-it-take,2024-03-23T18:11:02.000Z,positive,0.4904,0.4904,0.0676,0.4421,3
Profit Pakistan Today,SBP unveils plans for new currency notes with enhanced security features,https://profit.pakistantoday.com.pk/2024/01/29/sbp-unveils-plans-for-new-currency-notes-with-enhanced-security-features,2024-01-29T15:43:31.000Z,neutral,0.602,0.3413,0.0567,0.602,3
Profit Pakistan Today,Competition commission approves Coca-Cola Turkey’s acquisition of Coca Cola Pakistan,https://profit.pakistantoday.com.pk/2023/10/14/competition-commission-approves-coca-cola-turkeys-acquisition-of-coca-cola-pakistan,2023-10-14T18:18:53.000Z,neutral,0.7848,0.2063,0.0089,0.7848,2
Profit Pakistan Today,Industrialists urge govt to take pragmatic steps for resolution of issues,https://profit.pakistantoday.com.pk/2023/10/11/industrialists-urge-govt-to-take-pragmatic-steps-for-resolution-of-issues,2023-10-11T17:26:54.000Z,neutral,0.8481,0.1327,0.0192,0.8481,2
Profit Pakistan Today,Invitation to Saudi company to invest in corporate farming pick up pace,https://profit.pakistantoday.com.pk/2023/10/10/invitation-to-saudi-company-to-invest-in-corporate-farming-pick-up-pace,2023-10-10T16:11:54.000Z,neutral,0.8739,0.1121,0.014,0.8739,3
